id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
85899,86162,,,Gl 687,,,17.607283,68.339141,4.5282,-320.47,-1269.55,-23.2,9.15,10.87,M3.5Vvar,1.505,-0.171572,-1.662506,4.208248,-0.00000876,-0.00001633,-0.00003234,4.609575949,1.192743024,-1.55E-06,-6.15E-06,,,Dra,1,85899,,0.003908409,,,
85264,85523,,,Gl 674,,,17.47772,-46.89519,4.5405,573.32,-879.84,-10.2,9.38,11.094,K5,1.553,-0.422874,-3.073668,-3.314975,0.0000154,0.00001935,-0.00000562,4.57565634,-0.818475472,2.78E-06,-4.27E-06,,,Ara,1,85264,,0.003179801,,,
57194,57367,,,Gl 440,,,11.761338,-64.841517,4.6081,2665.17,-346.83,0,11.5,13.182,DC:,0.196,-1.955207,0.122023,-4.170954,0.00000327,-0.00005986,-0.00000329,3.079111183,-1.131697965,1.29E-05,-1.68E-06,,,Mus,1,57194,,0.000464729,,11.575,11.405
72283,72509,,,Gl 563.2A,,,14.825516,-26.111672,4.6583,-1421.6,-203.6,22,12.07,13.729,M,1.524,-3.089858,-2.819683,-2.050308,-0.00003507,0.00001146,-0.00001403,3.881310887,-0.455734657,-6.89E-06,-9.87E-07,,,,1,72283,Gl 563.2,0.000280802,,,
112660,113020,,,Gl 876,,,22.887977,-14.263701,4.6887,960.33,-675.64,-1.5,10.16,11.805,M5,1.597,4.352933,-1.304309,-1.155222,0.00000122,0.00002242,-0.00001451,5.992058277,-0.248948538,4.66E-06,-3.28E-06,,,Aqr,1,112660,,0.001651962,IL,10.202,10.102
117960,,,,GJ 1002,,,0.112155,-7.539302,4.6992,-816.71,-1869.38,-42,13.75,15.39,M5-5.5,1.98,4.65444,0.136696,-0.616283,-0.00004758,-0.00002002,-0.0000366,0.029362213,-0.131585649,-3.96E-06,-9.06E-06,,,,1,117960,,6.08E-05,,,
119312,,,,GJ 1245A,,,19.898222,44.414534,4.717,438.31,-583.77,0,13.41,15.042,M5.5 V e,1.9,1.606452,-2.961705,3.301167,0.00001326,-0.00000344,-0.00000953,5.209342226,0.775179849,2.12E-06,-2.83E-06,,,,1,119312,GJ 1245,8.38E-05,,,
119313,,,,GJ 1245B,,,19.8985,44.414552,4.717,438.31,-583.77,0,14.01,15.642,m,1.98,1.606668,-2.961587,3.301168,0.00001326,-0.00000344,-0.00000953,5.209415108,0.775180161,2.12E-06,-2.83E-06,,,,2,119312,GJ 1245,4.82E-05,,,
118727,,,,Gl 412B,,,11.093507,43.521487,4.8323,-4432.65,934.1,0,14.4,15.979,M6  e,2.09,-3.405436,0.825166,3.32765,0.00003895,0.00009743,0.00001587,2.904273264,0.759593249,-2.15E-05,4.53E-06,,,,2,54052,Gl 412,3.54E-05,,,
54052,54211,,,Gl 412A,,,11.091542,43.526777,4.848,-4410.79,943.32,68.8,8.82,10.392,M2Vvar,1.491,-3.416483,0.828486,3.33921,-0.00001034,0.00010916,0.00006453,2.903759032,0.759685575,-2.14E-05,4.57E-06,,,UMa,1,54052,Gl 412,0.006070158,WX,8.858,8.788
49767,49908,88230,,Gl 380,,,10.189602,49.454237,4.8731,-1361.55,-505,-25.4,6.6,8.161,K8V,1.326,-2.818415,1.445842,3.702832,0.00002164,0.00002505,-0.00002749,2.667631674,0.86313926,-6.60E-06,-2.45E-06,,,UMa,1,49767,,0.047380539,,,
118676,,,,Gl 388,,,10.326843,19.870262,4.9044,-497.26,-52.26,12.3,9.4,10.947,M4.5Ve,1.54,-4.17747,1.956673,1.667178,-0.00000608,0.0000159,0.00000311,2.703561278,0.346801489,-2.41E-06,-2.53E-07,,,Leo,1,118676,,0.003640827,,,
106098,106440,204961,,Gl 832,,,21.559441,-49.009006,4.9537,-46.18,-818.01,4.1,8.66,10.185,M1V,1.521,2.608354,-1.937731,-3.739143,-0.00001036,0.00000631,-0.00001605,5.644248573,-0.85536852,-2.24E-07,-3.97E-06,,,Gru,1,106098,,0.007345139,,,
19799,19849,26965,1325,Gl 166A,40Omi2Eri,,4.254537,-7.652871,4.9845,-2239.33,-3419.86,-42.7,4.43,5.942,K1V,0.82,2.179524,4.432894,-0.66374,0.00002462,-0.00007258,-0.00007609,1.113835082,-0.133567789,-1.09E-05,-1.66E-05,Omi-2,40,Eri,1,19799,Gl 166,0.365763193,,,
1240,1242,,,GJ 1005A,,,0.257803,-16.133807,4.9868,728.18,-617.48,-29,11.49,13.001,M:,1.75,4.779241,0.32306,-1.385667,-0.00003375,0.00001536,-0.0000061,0.067492759,-0.281588059,3.53E-06,-2.99E-06,,,Cet,1,1240,GJ 1005,0.000549035,,11.558,11.378
118281,,26976,,Gl 166B,,,4.256188,-7.657504,5.0444,-2180.82,-3436.41,-21,9.52,11.006,DA4,0.03,2.203473,4.486451,-0.67203,0.00003361,-0.00005259,-0.00008045,1.114267348,-0.133648659,-1.06E-05,-1.67E-05,,,Eri,2,19799,Gl 166,0.00344826,,,
118282,,,,Gl 166C,,,4.256188,-7.657504,5.0444,-2180.82,-3436.41,-45.9,11.17,12.656,dM4.5e,1.67,2.202917,4.485319,-0.671861,0.00002249,-0.00007525,-0.00007708,1.114267348,-0.133648659,-1.06E-05,-1.67E-05,,,Eri,3,19799,Gl 166,0.000754397,,,
85951,86214,,,Gl 682,,,17.617729,-44.319215,5.0787,-710.11,-937.99,-60,10.94,12.411,M5,1.655,-0.363042,-3.615031,-3.547885,-0.0000114,0.00006148,0.00002635,4.612310785,-0.773516227,-3.44E-06,-4.55E-06,,,Sco,1,85951,,0.000945366,,11.004,10.884
88327,88601,165341,6752,Gl 702A,70    Oph,,18.090913,2.500099,5.0834,124.56,-962.66,-6.9,4.03,5.499,K0V SB,0.86,0.120862,-5.077062,0.221741,0.00000293,0.00000609,-0.00002401,4.736189846,0.043634967,6.04E-07,-4.67E-06,,70,Oph,1,88327,Gl 702,0.550047253,V2391,4.05,4.02
119198,,,,Gl 702B,,,18.09099,2.498264,5.086,252.27,-1101.48,-10,6,7.468,K5 Ve,1.15,0.121015,-5.079214,0.221672,0.000006,0.00000917,-0.00002758,4.736209987,0.043602941,1.22E-06,-5.34E-06,,,Oph,2,88327,Gl 702,0.089701561,,,
112106,112460,,,Gl 873,,,22.780527,44.333991,5.1224,-704.66,-459.39,-0.5,10.29,11.743,M4.5Ve,1.54,3.478781,-1.15001,3.579733,0.00000173,-0.000019,-0.00000852,5.963927917,0.773774115,-3.42E-06,-2.23E-06,,,Lac,1,112106,,0.001749041,EV,10.386,10.206
97338,97649,187642,7557,Gl 768,53Alp Aql,Altair,19.846388,8.868322,5.1295,536.82,385.54,-26.1,0.76,2.21,A7IV-V,0.221,2.355468,-4.4873,0.790749,-0.00000112,0.00003087,0.00000536,5.195772106,0.154781417,2.60E-06,1.87E-06,Alp,53,Aql,1,97338,,11.37627286,Alp,0.803,0.753
118578,,,,GJ 1116A,,,8.970901,19.763287,5.2274,-869.3,-34.91,-34,14.06,15.469,m,1.84,-3.450811,3.503886,1.766979,0.00003845,-0.00000764,-0.00001259,2.348576389,0.344934434,-4.21E-06,-1.69E-07,,,,1,118578,GJ 1116,5.65E-05,,,
118579,,,,GJ 1116B,,,8.970901,19.764954,5.2274,-869.3,-34.91,0,14.92,16.329,m,1.93,-3.451925,3.505014,1.76771,0.00001548,0.00001567,-0.00000083,2.348576504,0.344963523,-4.21E-06,-1.69E-07,,,,2,118578,GJ 1116,2.56E-05,,,
57371,57544,,,Gl 445,,,11.794333,78.69116,5.3516,743.21,480.4,-112.2,10.8,12.158,M4,1.572,-1.047725,0.056332,5.246711,0.00003364,-0.00002112,-0.00011008,3.087749196,1.373419839,3.60E-06,2.33E-06,,,Cam,1,57371,,0.001193438,,10.866,10.736
118406,,,,NN 3379,,,6.000991,2.707087,5.3677,228.25,-74.16,0,11.33,12.681,M4,1.68,-0.001391,5.361709,0.253516,-0.00000594,0.00000009,-0.00000193,1.571055735,0.047247589,1.11E-06,-3.60E-07,,,Ori,1,118406,,0.000737225,,,
66943,67155,119850,,Gl 526,,,13.76215,14.89152,5.3911,1778.46,-1455.52,16.1,8.46,9.802,M3V,1.435,-4.665503,-2.319265,1.385494,-0.00000232,-0.00005306,-0.00003253,3.602922481,0.259906049,8.62E-06,-7.06E-06,,,Boo,1,66943,,0.010452014,,,
118311,,,,Gl 169.1B,,,4.518593,58.981451,5.5139,1371.91,-1944.8,0,12.44,13.733,DC5,0.31,1.073743,2.630708,4.725416,-0.00001708,0.00005513,-0.00002677,1.182964754,1.029420511,6.65E-06,-9.43E-06,,,,2,21036,Gl 169.1,0.000279769,,,
21036,21088,,,Gl 169.1A,,,4.519668,58.977072,5.5782,1300.21,-2048.99,17,10.82,12.088,,1.17,1.086377,2.661819,4.780431,-0.00001122,0.00006555,-0.00001365,1.183246298,1.029344093,6.30E-06,-9.93E-06,,,Cam,1,21036,Gl 169.1,0.001272917,,10.877,10.767
25813,25878,36395,,Gl 205,,,5.524277,-3.677229,5.6571,763.05,-2092.89,8.5,7.97,9.207,M1V,1.474,0.701301,5.601801,-0.362827,-0.00002014,0.00000756,-0.00005783,1.446252222,-0.064179753,3.70E-06,-1.01E-05,,,Ori,1,25813,,0.018080066,,,
119276,,,,Gl 754,,,19.346452,-45.55959,5.6915,646.35,-2868.07,16,12.23,13.454,M4.5,1.68,1.376254,-3.74042,-4.064196,0.00000121,0.00004838,-0.00006712,5.064889407,-0.795164843,3.13E-06,-1.39E-05,,,,1,119276,,0.000361743,,,
119112,,,,Gl 644B,,,16.924521,-8.3376,5.7395,-792.63,-874.15,0,9.9,11.106,,,-1.5779,-5.45522,-0.83226,-0.00002021,0.00000951,-0.00002407,4.430829241,-0.145518574,-3.84E-06,-4.24E-06,,,Oph,2,82565,Gl 644,0.00314485,,,
119113,,,,Gl 644C,,,16.926474,-8.395842,5.7395,-803.95,-877.36,20,16.78,17.986,M7,1.99,-1.575156,-5.456183,-0.83818,-0.00002611,-0.00000982,-0.00002713,4.43134049,-0.146535093,-3.90E-06,-4.25E-06,,,,3,82565,Gl 644,5.57E-06,,,
29222,29295,42581,,Gl 229,,,6.176284,-21.864643,5.7534,-137.01,-714.06,5.2,8.15,9.35,M1/M2V,1.487,-0.246337,5.333894,-2.142671,0.00000393,-0.0000023,-0.00002046,1.616947307,-0.38161001,-6.64E-07,-3.46E-06,,,Lep,1,29222,,0.015848932,,,
95799,96100,185144,7462,Gl 764,61Sig Dra,,19.539149,69.661175,5.7547,598.43,-1738.81,28.2,4.67,5.87,K0V,0.786,0.784452,-1.840016,5.396152,0.00003712,-0.00004452,0.00001019,5.115337176,1.215816871,2.90E-06,-8.43E-06,Sig,61,Dra,1,95799,,0.390840896,,,
118447,,,,Gl 251,,,6.913606,33.270718,5.7604,-752.58,-395.12,22.9,10.01,11.208,dM4,1.57,-1.141059,4.680085,3.160773,0.00001434,0.00002989,0.00000363,1.809977906,0.580683574,-3.65E-06,-1.92E-06,,,Gem,1,118447,,0.002862859,,,
45211,45343,79210,,Gl 338A,,,9.239826,52.686625,5.8113,-1533.58,-562.8,13.7,7.64,8.819,M0V,1.41,-2.642238,2.329858,4.62201,0.00001274,0.00004636,0.00000153,2.418980869,0.919555072,-7.44E-06,-2.73E-06,,,UMa,1,45211,Gl 338,0.025846396,,7.921,7.291
26792,26857,,,Gl 213,,,5.702566,12.489337,5.8292,1999.05,-1570.64,105.6,11.56,12.732,M5,1.675,0.44278,5.674935,1.260815,-0.00004736,0.00011909,-0.00001997,1.492928361,0.21798006,9.69E-06,-7.61E-06,,,Ori,1,26792,,0.000703396,V1352,11.635,11.475
86722,86990,,,Gl 693,,,17.776329,-57.319042,5.8316,-1119.87,-1352.52,-115,10.75,11.921,M5,1.66,-0.184376,-3.142875,-4.907535,-0.00002601,0.00009738,0.00007834,4.653832125,-1.000406014,-5.43E-06,-6.56E-06,,,Pav,1,86722,,0.001484568,,10.803,10.673
72957,73184,131977,5568,Gl 570A,,,14.957765,-21.415475,5.8404,1034.18,-1725.6,29.1,5.72,6.888,K4V,1.024,-3.887091,-3.802093,-2.13259,0.00001342,-0.00002784,-0.00005635,3.915933776,-0.37377055,5.01E-06,-8.37E-06,,,Lib,1,72957,Gl 570,0.153038253,KX,5.733,5.683
94466,94761,180617,,Gl 752A,,,19.282016,5.168904,5.8699,-578.86,-1331.7,36.3,9.12,10.277,M3.5V,1.464,1.925584,-5.520142,0.528861,-0.00000225,-0.00004356,-0.00003439,5.048020026,0.090214391,-2.81E-06,-6.46E-06,,,Aql,1,94466,Gl 752,0.006748387,V1428,9.154,9.084
119275,,,,Gl 752B,,,19.28281,5.148625,5.8734,-572.81,-1342.94,0,17.52,18.676,dM5  e,2.2,1.927832,-5.522905,0.527077,-0.00001426,-0.00000863,-0.00003808,5.04822775,0.08986046,-2.78E-06,-6.51E-06,,,,2,94466,Gl 752,2.95E-06,,,
118532,,,,Gl 300,,,8.211308,-21.551445,5.8824,30.53,-699.33,0,12.1,13.252,M4,1.6,-2.993375,4.579649,-2.16082,0.00000328,-0.00000661,-0.00001855,2.149715403,-0.376143676,1.48E-07,-3.39E-06,,,,1,118532,,0.000435712,,,
72955,73182,131976,,Gl 570B,,,14.957361,-21.41152,5.9252,987.05,-1666.81,27.9,8.01,9.146,K5V,1.519,-3.944034,-3.856974,-2.163168,0.00001332,-0.00002663,-0.00005499,3.91582799,-0.373701518,4.79E-06,-8.08E-06,,,Lib,2,72957,Gl 570,0.019124936,,,
75841,76074,,,Gl 588,,,15.536988,-41.275586,5.9291,-1177.47,-1028.86,15.4,9.31,10.445,M0,1.524,-2.678394,-3.561312,-3.911408,-0.00002244,0.00002647,-0.00003262,4.067574074,-0.720394881,-5.71E-06,-4.99E-06,,,Lup,1,75841,,0.00578096,,,
84147,84405,155885,6401,Gl 663A,36    Oph,,17.255836,-26.602829,5.9333,-473.69,-1143.93,0.9,4.33,5.464,K2:III:,0.855,-1.027046,-5.204798,-2.656955,-0.00001067,0.00001628,-0.00002983,4.517567394,-0.464306962,-2.30E-06,-5.55E-06,,36,Oph,1,84147,Gl 663,0.568067574,,,
118021,,,,Gl 34B,,,0.817022,57.817365,5.9527,1097.52,-509.45,10.5,7.51,8.636,K7 V,1.39,3.098396,0.673787,5.03855,0.00001103,0.0000348,0.00000126,0.213895944,1.009103388,5.32E-06,-2.47E-06,,,Cas,2,3814,Gl  34,0.030591446,,,
3814,3821,4614,219,Gl 34A,24Eta Cas,,0.81826,57.815187,5.9531,1087.11,-559.65,8.2,3.46,4.586,G0V SB,0.587,3.098462,0.674227,5.038376,0.00001105,0.00003451,-0.0000015,0.214219876,1.009065377,5.27E-06,-2.71E-06,Eta,24,Cas,1,3814,Gl  34,1.275263706,Eta,3.507,3.457
37659,37766,,,Gl 285,,,7.744493,3.552454,5.9566,-344.87,-450.84,26.8,11.19,12.315,M4.5Ve,1.6,-2.621889,5.336048,0.369099,-0.00000348,0.00002967,-0.00001129,2.027503512,0.062002012,-1.67E-06,-2.19E-06,,,CMi,1,37659,,0.001032761,YZ,11.284,11.084
84220,84478,156026,,Gl 664,,,17.270388,-26.546147,5.9705,-479.71,-1123.37,-0.1,6.33,7.45,K5V,1.144,-1.014027,-5.243915,-2.668326,-0.00001086,0.00001699,-0.00002904,4.52137691,-0.463317662,-2.33E-06,-5.45E-06,,,Oph,1,84220,,0.091201084,V2215,6.35,6.32
83882,84140,155876,,Gl 661A,,,17.202169,45.665974,5.9776,325.96,-1591.73,-30,9.31,10.427,K5,1.485,-0.866144,-4.086415,4.275453,0.00000684,-0.00001326,-0.00005418,4.50351737,0.797021596,1.58E-06,-7.72E-06,,,Her,1,83882,Gl 661,0.0058776,,,
117106,117473,,,Gl 908,,,23.820146,2.401223,5.9776,995.12,-968.25,-71.3,8.98,10.097,M2V,1.46,5.965095,-0.281077,0.250417,-0.00007024,0.00003218,-0.00003109,6.236099684,0.041909249,4.82E-06,-4.69E-06,,,Psc,1,117106,,0.007965261,BR,9.01,8.96
119135,,155886,6402,Gl 663B,36    Oph,,17.255734,-26.603215,5.9852,-492.43,-1127.13,0.5,5.07,6.185,K1 Ve,0.85,-1.036233,-5.250282,-2.680239,-0.00001127,0.00001668,-0.00002947,4.517540538,-0.464313694,-2.39E-06,-5.46E-06,,36,Oph,2,84147,Gl 663,0.292415238,,,
